date,time,valid,prelim,novalid,
160824, 0000,      35.2297,            ,            ,
160825, 0000,      35.1317,            ,            ,
160826, 0000,             ,     16.0699,            ,
160827, 0000,      28.2061,            ,            ,
160828, 0000,      38.8325,            ,            ,
160829, 0000,      27.2878,            ,            ,
160830, 0000,      26.5322,            ,            ,
160831, 0000,      18.1928,            ,            ,
160901, 0000,             ,            ,     23.0599,
160902, 0000,      30.5461,            ,            ,
160903, 0000,      43.2954,            ,            ,
160904, 0000,      42.6503,            ,            ,
160905, 0000,      33.6569,            ,            ,
160906, 0000,      25.4771,            ,            ,
160907, 0000,      32.7771,            ,            ,
160908, 0000,      34.6066,            ,            ,
160909, 0000,       25.233,            ,            ,
160910, 0000,      25.9671,            ,            ,
160911, 0000,             ,     16.5872,            ,
160912, 0000,             ,     11.9149,            ,
160913, 0000,             ,     18.2492,            ,
160914, 0000,      24.4753,            ,            ,
160915, 0000,      23.7333,            ,            ,
160916, 0000,      37.1288,            ,            ,
160917, 0000,      20.1368,            ,            ,
160918, 0000,      20.9892,            ,            ,
160919, 0000,      20.4213,            ,            ,
160920, 0000,      17.1974,            ,            ,
160921, 0000,      17.5183,            ,            ,
160922, 0000,      19.5578,            ,            ,
160923, 0000,      24.8282,            ,            ,
160924, 0000,      18.1493,            ,            ,
160925, 0000,      13.0864,            ,            ,
160926, 0000,      20.6867,            ,            ,
160927, 0000,      19.5087,            ,            ,
160928, 0000,      23.2602,            ,            ,
160929, 0000,       10.721,            ,            ,
160930, 0000,      18.9794,            ,            ,
161001, 0000,      11.7993,            ,            ,
161002, 0000,      16.9382,            ,            ,
161003, 0000,      14.1982,            ,            ,
161004, 0000,             ,            ,     8.87057,
161005, 0000,      12.7171,            ,            ,
161006, 0000,             ,            ,     14.4226,
161007, 0000,      12.0694,            ,            ,
161008, 0000,      18.7487,            ,            ,
161009, 0000,             ,            ,     11.1543,
161010, 0000,      11.9559,            ,            ,
161011, 0000,      12.6929,            ,            ,
161012, 0000,      14.1234,            ,            ,
161013, 0000,      17.6195,            ,            ,
161014, 0000,      13.2105,            ,            ,
161015, 0000,       14.772,            ,            ,
161016, 0000,      12.5207,            ,            ,
161017, 0000,      13.0246,            ,            ,
161018, 0000,             ,            ,     14.0869,
161019, 0000,             ,     18.9012,            ,
161020, 0000,      12.9018,            ,            ,
161021, 0000,      12.8943,            ,            ,
161022, 0000,      18.4119,            ,            ,
161023, 0000,      12.8932,            ,            ,
161024, 0000,       11.733,            ,            ,
161025, 0000,      9.08914,            ,            ,
161026, 0000,      17.8813,            ,            ,
161027, 0000,      15.7847,            ,            ,
161028, 0000,      14.2082,            ,            ,
161029, 0000,      12.3449,            ,            ,
161030, 0000,      11.8739,            ,            ,
161031, 0000,      9.67717,            ,            ,
161101, 0000,             ,     13.4862,            ,
161102, 0000,             ,     16.7937,            ,
161103, 0000,             ,     11.0249,            ,
161104, 0000,      12.2662,            ,            ,
161105, 0000,      11.5328,            ,            ,
161106, 0000,      7.90148,            ,            ,
161107, 0000,      10.8152,            ,            ,
161108, 0000,      13.8824,            ,            ,
161109, 0000,      13.0984,            ,            ,
161110, 0000,      15.9536,            ,            ,
161111, 0000,      12.0335,            ,            ,
161112, 0000,      12.4443,            ,            ,
161113, 0000,      14.2635,            ,            ,
161114, 0000,      8.37645,            ,            ,
161115, 0000,       11.162,            ,            ,
161116, 0000,      13.7706,            ,            ,
161117, 0000,      15.0982,            ,            ,
161118, 0000,      36.2725,            ,            ,
161119, 0000,      23.8472,            ,            ,
161120, 0000,      14.3053,            ,            ,
161121, 0000,      14.4726,            ,            ,
161122, 0000,      11.0104,            ,            ,
161123, 0000,      9.52856,            ,            ,
161124, 0000,      11.1194,            ,            ,
161125, 0000,      14.6279,            ,            ,
161126, 0000,             ,     10.6027,            ,
161127, 0000,             ,     9.46365,            ,
161128, 0000,      12.4588,            ,            ,
161129, 0000,      22.2668,            ,            ,
161130, 0000,      25.2718,            ,            ,
161201, 0000,      19.7242,            ,            ,
161202, 0000,      19.1362,            ,            ,
161203, 0000,      18.4825,            ,            ,
161204, 0000,      11.2571,            ,            ,
161205, 0000,      10.3199,            ,            ,
161206, 0000,      14.2019,            ,            ,
161207, 0000,      21.6644,            ,            ,
161208, 0000,      15.3156,            ,            ,
161209, 0000,       10.027,            ,            ,
161210, 0000,      13.8338,            ,            ,
161211, 0000,      9.33755,            ,            ,
161212, 0000,      7.43292,            ,            ,
161213, 0000,      10.3581,            ,            ,
161214, 0000,      17.2147,            ,            ,
161215, 0000,      43.2358,            ,            ,
161216, 0000,      14.2206,            ,            ,
161217, 0000,      16.9395,            ,            ,
161218, 0000,      10.9973,            ,            ,
161219, 0000,      13.0823,            ,            ,
161220, 0000,      7.42612,            ,            ,
161221, 0000,      9.16966,            ,            ,
161222, 0000,      7.72723,            ,            ,
161223, 0000,      9.41896,            ,            ,
161224, 0000,      11.6062,            ,            ,
161225, 0000,             ,     7.03931,            ,
161226, 0000,      8.12288,            ,            ,
161227, 0000,      16.8012,            ,            ,
161228, 0000,      10.7319,            ,            ,
161229, 0000,      16.2673,            ,            ,
161230, 0000,      15.5054,            ,            ,
161231, 0000,      11.4103,            ,            ,
170101, 0000,             ,     10.4802,            ,
170102, 0000,             ,     9.13271,            ,
170103, 0000,             ,     8.51205,            ,
170104, 0000,             ,     13.2059,            ,
170105, 0000,       15.276,            ,            ,
170106, 0000,      13.0279,            ,            ,
170107, 0000,             ,     9.82298,            ,
170108, 0000,             ,     9.02495,            ,
170109, 0000,             ,      8.9016,            ,
170110, 0000,             ,     8.25941,            ,
170111, 0000,             ,     10.0667,            ,
170112, 0000,      11.3948,            ,            ,
170113, 0000,             ,            ,     8.74887,
170114, 0000,             ,     11.0787,            ,
170115, 0000,      18.7183,            ,            ,
170116, 0000,             ,     23.2528,            ,
170117, 0000,      16.5272,            ,            ,
170118, 0000,      17.6636,            ,            ,
170119, 0000,      18.9181,            ,            ,
170120, 0000,       12.904,            ,            ,
170121, 0000,      40.5577,            ,            ,
170122, 0000,      70.9807,            ,            ,
170123, 0000,      80.9495,            ,            ,
170124, 0000,      17.9122,            ,            ,
170125, 0000,             ,     11.1129,            ,
170126, 0000,      21.2863,            ,            ,
170127, 0000,      24.4118,            ,            ,
170128, 0000,      51.1541,            ,            ,
170129, 0000,      60.4562,            ,            ,
170130, 0000,      43.0712,            ,            ,
170131, 0000,      29.3244,            ,            ,
170201, 0000,      33.8787,            ,            ,
170202, 0000,      22.0511,            ,            ,
170203, 0000,      12.6257,            ,            ,
170204, 0000,      9.34653,            ,            ,
170205, 0000,      9.48895,            ,            ,
170206, 0000,       10.379,            ,            ,
170207, 0000,      14.6076,            ,            ,
170208, 0000,      11.7719,            ,            ,
170209, 0000,      13.0147,            ,            ,
170210, 0000,      11.2234,            ,            ,
170211, 0000,       14.426,            ,            ,
170212, 0000,      14.0583,            ,            ,
170213, 0000,      11.0936,            ,            ,
170214, 0000,      16.1679,            ,            ,
170215, 0000,      15.2931,            ,            ,
170216, 0000,      10.9677,            ,            ,
170217, 0000,      11.0342,            ,            ,
170218, 0000,      8.52094,            ,            ,
170219, 0000,      10.0563,            ,            ,
170220, 0000,      9.70659,            ,            ,
170221, 0000,      9.51775,            ,            ,
170222, 0000,      6.12488,            ,            ,
170223, 0000,      8.63887,            ,            ,
170224, 0000,      12.7051,            ,            ,
170225, 0000,      11.1481,            ,            ,
170226, 0000,      8.81102,            ,            ,
170227, 0000,      9.40982,            ,            ,
170228, 0000,      8.91426,            ,            ,
170301, 0000,      8.00012,            ,            ,
170302, 0000,      5.96445,            ,            ,
170303, 0000,      7.46143,            ,            ,
170304, 0000,      9.70581,            ,            ,
170305, 0000,      8.76701,            ,            ,
170306, 0000,      7.03756,            ,            ,
170307, 0000,      13.1929,            ,            ,
170308, 0000,      21.5254,            ,            ,
170309, 0000,      8.69334,            ,            ,
170310, 0000,      9.98451,            ,            ,
170311, 0000,      7.05618,            ,            ,
170312, 0000,      8.51018,            ,            ,
170313, 0000,       10.592,            ,            ,
170314, 0000,      13.8137,            ,            ,
170315, 0000,      14.1051,            ,            ,
170316, 0000,      29.4305,            ,            ,
170317, 0000,      20.1443,            ,            ,
170318, 0000,      17.4122,            ,            ,
170319, 0000,      30.1742,            ,            ,
170320, 0000,      17.6893,            ,            ,
170321, 0000,      20.3127,            ,            ,
170322, 0000,      18.7919,            ,            ,
170323, 0000,      14.8075,            ,            ,
170324, 0000,      10.7222,            ,            ,
170325, 0000,      10.4379,            ,            ,
170326, 0000,      10.8191,            ,            ,
170327, 0000,      12.2423,            ,            ,
170328, 0000,      14.8006,            ,            ,
170329, 0000,       10.902,            ,            ,
170330, 0000,       11.865,            ,            ,
170331, 0000,      11.6131,            ,            ,
170401, 0000,      16.4695,            ,            ,
170402, 0000,      6.56373,            ,            ,
170403, 0000,      11.6042,            ,            ,
170404, 0000,      12.5546,            ,            ,
170405, 0000,      19.4345,            ,            ,
170406, 0000,      19.9423,            ,            ,
170407, 0000,      5.61868,            ,            ,
170408, 0000,      9.84302,            ,            ,
170409, 0000,       10.373,            ,            ,
170410, 0000,      13.8423,            ,            ,
170411, 0000,      18.2847,            ,            ,
170412, 0000,      21.2998,            ,            ,
170413, 0000,      21.1559,            ,            ,
170414, 0000,      15.9507,            ,            ,
170415, 0000,       14.841,            ,            ,
170416, 0000,      18.6207,            ,            ,
170417, 0000,      17.7764,            ,            ,
170418, 0000,      20.6279,            ,            ,
170419, 0000,      23.9085,            ,            ,
170420, 0000,      7.84357,            ,            ,
170421, 0000,      8.67563,            ,            ,
170422, 0000,      11.1849,            ,            ,
170423, 0000,      21.0009,            ,            ,
170424, 0000,      23.1903,            ,            ,
170425, 0000,      22.4164,            ,            ,
170426, 0000,      17.2154,            ,            ,
170427, 0000,      17.7705,            ,            ,
170428, 0000,      21.9264,            ,            ,
170429, 0000,      26.3617,            ,            ,
170430, 0000,      28.6462,            ,            ,
170501, 0000,           27,            ,            ,
170502, 0000,           29,            ,            ,
170503, 0000,           13,            ,            ,
170504, 0000,           26,            ,            ,
170505, 0000,             ,            ,          24,
170506, 0000,             ,            ,           1,
170507, 0000,             ,            ,           1,
170508, 0000,             ,            ,           5,
170509, 0000,           20,            ,            ,
170510, 0000,           37,            ,            ,
170511, 0000,           16,            ,            ,
170512, 0000,           17,            ,            ,
170513, 0000,           16,            ,            ,
170514, 0000,           20,            ,            ,
170515, 0000,           24,            ,            ,
170516, 0000,           46,            ,            ,
170517, 0000,           37,            ,            ,
170518, 0000,           25,            ,            ,
170519, 0000,           27,            ,            ,
170520, 0000,           27,            ,            ,
170521, 0000,           37,            ,            ,
170522, 0000,           20,            ,            ,
170523, 0000,           39,            ,            ,
170524, 0000,           37,            ,            ,
170525, 0000,           40,            ,            ,
170526, 0000,           41,            ,            ,
170527, 0000,           50,            ,            ,
170528, 0000,           65,            ,            ,
170529, 0000,           53,            ,            ,
170530, 0000,           54,            ,            ,
170531, 0000,           50,            ,            ,
170601, 0000,           41,            ,            ,
170602, 0000,           47,            ,            ,
170603, 0000,           51,            ,            ,
170604, 0000,           29,            ,            ,
170605, 0000,           23,            ,            ,
170606, 0000,           39,            ,            ,
170607, 0000,           63,            ,            ,
170608, 0000,           28,            ,            ,
170609, 0000,           25,            ,            ,
170610, 0000,           21,            ,            ,
170611, 0000,           37,            ,            ,
170612, 0000,           34,            ,            ,
170613, 0000,           82,            ,            ,
170614, 0000,           78,            ,            ,
170615, 0000,           52,            ,            ,
170616, 0000,           14,            ,            ,
170617, 0000,           39,            ,            ,
170618, 0000,           28,            ,            ,
170619, 0000,           39,            ,            ,
170620, 0000,           61,            ,            ,
170621, 0000,           57,            ,            ,
170622, 0000,           37,            ,            ,
170623, 0000,           38,            ,            ,
170624, 0000,           50,            ,            ,
170625, 0000,           43,            ,            ,
170626, 0000,           19,            ,            ,
170627, 0000,           18,            ,            ,
170628, 0000,           15,            ,            ,
170629, 0000,           19,            ,            ,
170630, 0000,           30,            ,            ,
170701, 0000,           49,            ,            ,
170702, 0000,           57,            ,            ,
170703, 0000,           36,            ,            ,
170704, 0000,           35,            ,            ,
170705, 0000,           50,            ,            ,
170706, 0000,           60,            ,            ,
170707, 0000,           37,            ,            ,
170708, 0000,           63,            ,            ,
170709, 0000,           46,            ,            ,
170710, 0000,           21,            ,            ,
170711, 0000,           49,            ,            ,
170712, 0000,           79,            ,            ,
170713, 0000,           35,            ,            ,
170714, 0000,           35,            ,            ,
170715, 0000,             ,            ,            ,
170716, 0000,             ,            ,            ,
170717, 0000,           31,            ,            ,
170718, 0000,           40,            ,            ,
170719, 0000,           37,            ,            ,
170720, 0000,           33,            ,            ,
170721, 0000,           41,            ,            ,
170722, 0000,           41,            ,            ,
170723, 0000,           26,            ,            ,
170724, 0000,           18,            ,            ,
170725, 0000,           39,            ,            ,
170726, 0000,           25,            ,            ,
170727, 0000,           44,            ,            ,
170728, 0000,           33,            ,            ,
170729, 0000,           18,            ,            ,
170730, 0000,           34,            ,            ,
170731, 0000,           47,            ,            ,
170801, 0000,           80,            ,            ,
170802, 0000,           56,            ,            ,
170803, 0000,           70,            ,            ,
170804, 0000,           72,            ,            ,
170805, 0000,           68,            ,            ,
170806, 0000,           57,            ,            ,
170807, 0000,           39,            ,            ,
170808, 0000,           57,            ,            ,
170809, 0000,           26,            ,            ,
170810, 0000,           12,            ,            ,
170811, 0000,           22,            ,            ,
170812, 0000,           37,            ,            ,
170813, 0000,           26,            ,            ,
170814, 0000,           43,            ,            ,
170815, 0000,           17,            ,            ,
170816, 0000,           31,            ,            ,
170817, 0000,           37,            ,            ,
170818, 0000,           31,            ,            ,
170819, 0000,           24,            ,            ,
170820, 0000,           19,            ,            ,
170821, 0000,           43,            ,            ,
170822, 0000,           23,            ,            ,
170823, 0000,           19,            ,            ,
170824, 0000,           27,            ,            ,
170825, 0000,           40,            ,            ,
170826, 0000,           65,            ,            ,
170827, 0000,           29,            ,            ,
170828, 0000,           20,            ,            ,
170829, 0000,           15,            ,            ,
170830, 0000,           24,            ,            ,
170831, 0000,           29,            ,            ,
170901, 0000,           14,            ,            ,
170902, 0000,           11,            ,            ,
170903, 0000,           18,            ,            ,
170904, 0000,           20,            ,            ,
170905, 0000,           26,            ,            ,
170906, 0000,           21,            ,            ,
170907, 0000,           13,            ,            ,
170908, 0000,           13,            ,            ,
170909, 0000,           37,            ,            ,
170910, 0000,           27,            ,            ,
170911, 0000,           44,            ,            ,
170912, 0000,           30,            ,            ,
170913, 0000,           14,            ,            ,
170914, 0000,             ,            ,            ,
170915, 0000,             ,            ,            ,
170916, 0000,           30,            ,            ,
170917, 0000,           23,            ,            ,
170918, 0000,           18,            ,            ,
170919, 0000,           10,            ,            ,
170920, 0000,            9,            ,            ,
170921, 0000,           10,            ,            ,
170922, 0000,           19,            ,            ,
170923, 0000,           15,            ,            ,
170924, 0000,            8,            ,            ,
170925, 0000,           17,            ,            ,
170926, 0000,           18,            ,            ,
170927, 0000,           24,            ,            ,
170928, 0000,           17,            ,            ,
170929, 0000,           26,            ,            ,
170930, 0000,           14,            ,            ,
171001, 0000,            9,            ,            ,
171002, 0000,           13,            ,            ,
171003, 0000,           14,            ,            ,
171004, 0000,            9,            ,            ,
171005, 0000,            7,            ,            ,
171006, 0000,            9,            ,            ,
171007, 0000,            9,            ,            ,
171008, 0000,            6,            ,            ,
171009, 0000,            6,            ,            ,
171010, 0000,            7,            ,            ,
171011, 0000,           11,            ,            ,
171012, 0000,            9,            ,            ,
171013, 0000,           10,            ,            ,
171014, 0000,           13,            ,            ,
171015, 0000,           14,            ,            ,
171016, 0000,            8,            ,            ,
171017, 0000,            9,            ,            ,
171018, 0000,            6,            ,            ,
171019, 0000,            8,            ,            ,
171020, 0000,           12,            ,            ,
171021, 0000,            9,            ,            ,
171022, 0000,            8,            ,            ,
171023, 0000,            6,            ,            ,
171024, 0000,            7,            ,            ,
171025, 0000,            8,            ,            ,
171026, 0000,            8,            ,            ,
171027, 0000,            8,            ,            ,
171028, 0000,            3,            ,            ,
171029, 0000,            4,            ,            ,
171030, 0000,            6,            ,            ,
171031, 0000,            6,            ,            ,
171101, 0000,           10,            ,            ,
171102, 0000,            7,            ,            ,
171103, 0000,            8,            ,            ,
171104, 0000,            9,            ,            ,
171105, 0000,            6,            ,            ,
171106, 0000,            7,            ,            ,
171107, 0000,            8,            ,            ,
171108, 0000,            8,            ,            ,
171109, 0000,            6,            ,            ,
171110, 0000,            8,            ,            ,
171111, 0000,            7,            ,            ,
171112, 0000,            7,            ,            ,
171113, 0000,            7,            ,            ,
171114, 0000,            8,            ,            ,
171115, 0000,            5,            ,            ,
171116, 0000,            5,            ,            ,
171117, 0000,            5,            ,            ,
171118, 0000,            7,            ,            ,
171119, 0000,            6,            ,            ,
171120, 0000,            7,            ,            ,
171121, 0000,            8,            ,            ,
171122, 0000,            7,            ,            ,
171123, 0000,            8,            ,            ,
171124, 0000,            9,            ,            ,
171125, 0000,           10,            ,            ,
171126, 0000,            9,            ,            ,
171127, 0000,             ,            ,            ,
171128, 0000,             ,            ,            ,
171129, 0000,           10,            ,            ,
171130, 0000,           13,            ,            ,
171201, 0000,           12,            ,            ,
171202, 0000,           12,            ,            ,
171203, 0000,            8,            ,            ,
171204, 0000,            9,            ,            ,
171205, 0000,           10,            ,            ,
171206, 0000,            9,            ,            ,
171207, 0000,           10,            ,            ,
171208, 0000,           10,            ,            ,
171209, 0000,            8,            ,            ,
171210, 0000,            7,            ,            ,
171211, 0000,           12,            ,            ,
171212, 0000,            6,            ,            ,
171213, 0000,            5,            ,            ,
171214, 0000,            7,            ,            ,
171215, 0000,            5,            ,            ,
171216, 0000,            4,            ,            ,
171217, 0000,            5,            ,            ,
171218, 0000,            6,            ,            ,
171219, 0000,            7,            ,            ,
171220, 0000,            8,            ,            ,
171221, 0000,            7,            ,            ,
171222, 0000,            7,            ,            ,
171223, 0000,            5,            ,            ,
171224, 0000,            7,            ,            ,
171225, 0000,            5,            ,            ,
171226, 0000,            4,            ,            ,
171227, 0000,            4,            ,            ,
171228, 0000,            5,            ,            ,
171229, 0000,            5,            ,            ,
171230, 0000,            5,            ,            ,
171231, 0000,            9,            ,            ,
180101, 0000,            8,            ,            ,
180102, 0000,            7,            ,            ,
180103, 0000,            5,            ,            ,
180104, 0000,            3,            ,            ,
180105, 0000,            6,            ,            ,
180106, 0000,            6,            ,            ,
180107, 0000,            7,            ,            ,
180108, 0000,            9,            ,            ,
180109, 0000,           10,            ,            ,
180110, 0000,           10,            ,            ,
180111, 0000,            9,            ,            ,
180112, 0000,            8,            ,            ,
180113, 0000,            8,            ,            ,
180114, 0000,            8,            ,            ,
180115, 0000,            5,            ,            ,
180116, 0000,            9,            ,            ,
180117, 0000,            8,            ,            ,
180118, 0000,            8,            ,            ,
180119, 0000,           11,            ,            ,
180120, 0000,           11,            ,            ,
180121, 0000,            9,            ,            ,
180122, 0000,           12,            ,            ,
180123, 0000,           10,            ,            ,
180124, 0000,           13,            ,            ,
180125, 0000,           12,            ,            ,
180126, 0000,           10,            ,            ,
180127, 0000,            9,            ,            ,
180128, 0000,           10,            ,            ,
180129, 0000,           11,            ,            ,
180130, 0000,            9,            ,            ,
180131, 0000,           10,            ,            ,
180201, 0000,           13,            ,            ,
180202, 0000,           13,            ,            ,
180203, 0000,           13,            ,            ,
180204, 0000,           10,            ,            ,
180205, 0000,            8,            ,            ,
180206, 0000,            8,            ,            ,
180207, 0000,            9,            ,            ,
180208, 0000,            8,            ,            ,
180209, 0000,            6,            ,            ,
180210, 0000,            7,            ,            ,
180211, 0000,            8,            ,            ,
180212, 0000,            9,            ,            ,
180213, 0000,           14,            ,            ,
180214, 0000,           12,            ,            ,
180215, 0000,           10,            ,            ,
180216, 0000,           13,            ,            ,
180217, 0000,           10,            ,            ,
180218, 0000,            5,            ,            ,
180219, 0000,            4,            ,            ,
180220, 0000,            5,            ,            ,
180221, 0000,            7,            ,            ,
180222, 0000,            6,            ,            ,
180223, 0000,            7,            ,            ,
180224, 0000,            6,            ,            ,
180225, 0000,            6,            ,            ,
180226, 0000,            7,            ,            ,
180227, 0000,            7,            ,            ,
180228, 0000,            7,            ,            ,
180301, 0000,            9,            ,            ,
180302, 0000,            9,            ,            ,
180303, 0000,            7,            ,            ,
180304, 0000,            7,            ,            ,
180305, 0000,            7,            ,            ,
180306, 0000,           13,            ,            ,
180307, 0000,           13,            ,            ,
180308, 0000,           15,            ,            ,
180309, 0000,            9,            ,            ,
180310, 0000,            6,            ,            ,
180311, 0000,            4,            ,            ,
180312, 0000,            4,            ,            ,
180313, 0000,            6,            ,            ,
180314, 0000,            7,            ,            ,
180315, 0000,            8,            ,            ,
180316, 0000,             ,            ,           6,
180317, 0000,             ,            ,           4,
180318, 0000,             ,            ,           3,
180319, 0000,             ,            ,           3,
180320, 0000,            7,            ,            ,
180321, 0000,           11,            ,            ,
180322, 0000,            7,            ,            ,
180323, 0000,            5,            ,            ,
180324, 0000,            8,            ,            ,
180325, 0000,            8,            ,            ,
180326, 0000,           10,            ,            ,
180327, 0000,           16,            ,            ,
180328, 0000,           18,            ,            ,
180329, 0000,           16,            ,            ,
180330, 0000,           19,            ,            ,
180331, 0000,            9,            ,            ,
180401, 0000,           14,            ,            ,
180402, 0000,           11,            ,            ,
180403, 0000,           14,            ,            ,
180404, 0000,           20,            ,            ,
180405, 0000,           15,            ,            ,
180406, 0000,           16,            ,            ,
